fever,cough,fatigue,shortness_of_breath,headache,sore_throat,nausea,dizziness,body_aches,runny_nose,chest_pain,diarrhea,loss_of_taste,loss_of_smell,diagnosis
1,1,1,0,1,1,0,0,1,0,0,0,0,0,Flu
1,1,1,0,1,0,0,0,1,0,0,0,0,0,Flu
1,1,1,0,0,1,0,0,1,0,0,0,0,0,Flu
1,1,1,0,1,1,0,0,0,0,0,0,0,0,Flu
1,0,1,0,1,0,0,0,1,0,0,0,0,0,Flu
1,1,0,0,1,1,0,0,0,0,0,0,0,0,Flu
1,1,1,0,0,0,0,0,1,0,0,0,0,0,Flu
1,0,1,1,0,0,0,0,0,0,1,0,0,0,Pneumonia
1,0,1,1,1,0,0,0,0,0,1,0,0,0,Pneumonia
1,0,1,1,0,0,0,0,0,0,1,0,0,0,Pneumonia
1,0,0,1,0,0,0,0,0,0,1,0,0,0,Pneumonia
1,1,1,1,0,0,0,0,0,0,1,0,0,0,Pneumonia
0,1,0,0,1,1,0,0,0,1,0,0,0,0,Common Cold
0,1,0,0,0,1,0,0,0,1,0,0,0,0,Common Cold
0,1,0,0,1,1,0,0,0,0,0,0,0,0,Common Cold
0,1,1,0,1,1,0,0,0,1,0,0,0,0,Common Cold
0,1,0,0,1,0,0,0,0,1,0,0,0,0,Common Cold
0,0,0,0,0,1,0,0,0,1,0,0,0,0,Common Cold
1,1,1,1,0,0,0,0,0,0,0,0,1,1,COVID-19
1,1,0,1,0,0,0,0,0,0,0,0,1,1,COVID-19
1,1,1,1,0,0,0,0,0,0,0,0,1,0,COVID-19
1,1,0,1,1,0,0,0,0,0,0,0,0,1,COVID-19
1,1,1,1,1,0,0,0,0,0,0,0,1,1,COVID-19
1,0,1,1,0,0,0,0,0,0,0,0,1,1,COVID-19
0,0,1,0,1,0,1,1,0,0,0,0,0,0,Migraine
1,0,0,0,1,0,1,1,0,0,0,0,0,0,Migraine
0,0,1,0,1,1,0,1,0,0,0,0,0,0,Migraine
0,0,0,0,1,0,1,1,0,0,0,0,0,0,Migraine
0,0,1,0,1,0,0,1,0,0,0,0,0,0,Migraine
0,0,0,0,1,1,1,0,0,0,0,0,0,0,Migraine
1,0,0,0,1,1,0,0,1,0,0,0,0,0,Tonsillitis
1,0,0,0,0,1,0,0,1,0,0,0,0,0,Tonsillitis
0,0,0,0,0,1,0,0,0,0,0,0,0,0,Tonsillitis
1,0,1,0,0,1,0,0,1,0,0,0,0,0,Tonsillitis
1,0,0,0,1,1,0,0,1,0,0,0,0,0,Tonsillitis
0,1,1,0,0,1,0,0,0,0,1,0,0,0,Bronchitis
0,1,1,0,0,0,0,0,0,0,1,0,0,0,Bronchitis
0,1,1,1,0,0,0,0,0,0,1,0,0,0,Bronchitis
0,1,1,0,1,0,0,0,0,0,1,0,0,0,Bronchitis
0,1,0,0,0,1,0,0,0,0,1,0,0,0,Bronchitis
1,1,0,1,1,0,0,1,0,0,1,0,0,0,Asthma
0,1,0,1,1,0,0,1,0,0,1,0,0,0,Asthma
0,1,0,1,0,0,0,1,0,0,1,0,0,0,Asthma
1,1,0,1,0,0,0,0,0,0,1,0,0,0,Asthma
0,0,0,1,0,0,0,1,0,0,1,0,0,0,Asthma
0,1,1,0,1,0,0,1,0,1,0,0,0,0,Sinusitis
0,1,0,0,1,0,0,1,0,1,0,0,0,0,Sinusitis
0,1,1,0,1,0,0,0,0,1,0,0,0,0,Sinusitis
0,0,1,0,1,0,0,1,0,1,0,0,0,0,Sinusitis
1,0,0,0,1,0,0,1,0,1,0,0,0,0,Sinusitis
1,0,0,0,0,1,0,0,1,0,0,0,0,0,Strep Throat
1,1,0,0,0,1,0,0,1,0,0,0,0,0,Strep Throat
1,0,0,0,0,1,0,0,1,0,0,0,0,0,Strep Throat
1,0,1,0,0,1,0,0,1,0,0,0,0,0,Strep Throat
0,0,1,1,0,0,0,1,0,0,0,0,0,0,Anemia
0,0,1,1,1,0,0,1,0,0,0,0,0,0,Anemia
0,0,1,0,0,0,0,1,0,0,0,0,0,0,Anemia
0,0,1,0,1,0,0,1,0,0,0,0,0,0,Anemia
1,1,1,1,1,1,1,1,1,1,1,0,0,0,Severe Infection
1,0,1,1,1,1,1,1,1,0,1,0,0,0,Severe Infection
1,1,1,1,1,0,1,1,1,0,1,0,0,0,Severe Infection
1,1,0,1,1,1,1,1,1,0,1,0,0,0,Severe Infection
1,1,1,1,0,1,1,1,1,0,1,0,0,0,Severe Infection
0,1,0,0,0,0,0,1,0,1,0,0,0,0,Allergies
