fever,cough,fatigue,shortness_of_breath,headache,sore_throat,diagnosis
1,1,1,0,1,1,Flu
1,0,1,1,0,0,Pneumonia
0,1,0,0,1,1,Common Cold
1,1,1,1,0,0,COVID-19
0,0,1,0,1,0,Migraine
1,0,0,0,1,1,Tonsillitis
0,1,1,0,0,1,Bronchitis
1,1,0,1,1,0,Asthma
0,0,0,0,1,0,Tension Headache
1,0,0,0,0,0,Viral Fever
0,1,0,0,0,0,Allergic Cough
0,0,1,0,0,0,Chronic Fatigue
0,0,0,1,0,0,Exercise Intolerance
0,0,0,0,0,1,Pharyngitis
1,1,1,0,0,1,Flu
0,1,0,0,0,1,Upper Respiratory Infection
1,0,1,1,1,0,Pneumonia
1,1,0,1,0,0,COVID-19
0,1,1,0,1,0,Sinusitis
1,0,0,0,0,1,Strep Throat
0,0,1,1,0,0,Anemia
1,1,1,1,1,1,Severe Respiratory Infection
0,1,0,0,0,0,Seasonal Allergies
1,0,1,0,1,0,Viral Syndrome
0,1,1,0,0,0,Acute Bronchitis
1,1,0,0,1,1,Tonsillitis
0,0,0,1,0,1,Mild Asthma
1,1,1,0,0,0,Influenza A
0,1,0,0,1,1,Cold with Sore Throat
1,0,0,1,0,0,Walking Pneumonia
0,1,1,1,0,1,Chronic Bronchitis
1,1,0,0,0,1,Flu Type B
0,0,1,0,0,0,Post-Viral Fatigue
1,1,1,1,0,0,Severe COVID-19
0,1,0,1,1,0,Allergic Asthma
1,0,1,0,0,1,Mononucleosis
0,1,1,0,0,0,Common Cold
1,1,0,0,1,0,Flu with Headache
0,0,0,0,0,1,Bacterial Throat Infection
1,1,1,0,1,1,Severe Flu
0,1,0,0,1,0,Sinus Headache
1,0,0,0,1,1,Acute Tonsillitis
0,1,1,1,0,0,Acute Bronchitis
1,1,0,1,0,1,COVID-19 Variant
0,0,1,0,1,0,Migraine
1,1,1,1,1,0,Critical Respiratory Illness
0,1,0,0,0,1,Allergic Rhinitis
1,0,1,0,0,0,Simple Fever
0,1,1,0,1,0,Sinus Infection
1,1,0,0,0,0,Mild Flu
0,0,0,1,0,1,Exercise-Induced Asthma
1,1,1,0,1,0,Seasonal Flu
0,1,0,1,1,1,Severe Asthma
1,0,1,0,0,1,Viral Infection
0,1,1,0,0,0,Persistent Cough
1,1,0,1,0,0,Atypical Pneumonia
0,0,1,0,1,0,Chronic Headache
1,1,1,1,1,1,Sepsis
1,0,0,0,1,0,Fever with Headache
0,1,0,0,1,0,Cough Headache
0,0,1,1,0,0,Iron Deficiency
1,0,1,1,0,0,Bacterial Pneumonia
0,1,1,0,1,1,Viral Upper Respiratory Infection
1,1,0,0,0,1,Classic Flu
0,0,0,1,1,0,Stress-Induced Symptoms
1,0,0,1,0,1,Pneumonitis
0,1,0,1,0,0,Occupational Asthma
1,1,1,0,0,0,H1N1 Flu
0,0,1,0,0,1,Chronic Throat Irritation
1,0,1,0,1,1,Epstein-Barr Virus
0,1,1,1,1,0,Complex Respiratory Syndrome
1,1,0,1,1,1,Severe Flu Complications
0,0,0,0,1,1,Tension Headache with Sore Throat
1,0,0,0,0,1,Simple Bacterial Infection
0,1,0,0,0,0,Dry Cough
1,1,1,1,0,1,Pandemic Flu
0,0,1,1,1,0,Chronic Illness
1,0,1,1,1,1,Complicated Pneumonia
0,1,0,1,0,1,Asthma with Throat Irritation
1,1,0,0,1,0,Typical Flu Syndrome
0,0,0,0,0,0,No Significant Illness
1,0,0,1,1,0,Fever with Breathing Issues
0,1,1,0,1,0,Post-Nasal Drip
1,1,1,0,1,0,Standard Influenza
0,0,1,1,0,1,Chronic Respiratory Condition
1,0,1,0,1,0,Viral Fever Syndrome
0,1,0,1,1,1,Multi-System Involvement
1,1,0,1,0,0,COVID-19 Alpha
0,0,0,0,1,0,Primary Headache
1,0,0,0,1,1,Acute Pharyngitis
0,1,1,1,0,0,Chronic Obstructive Pulmonary Disease
1,1,1,1,1,0,Acute Respiratory Syndrome
0,0,1,0,0,0,Idiopathic Fatigue
1,0,1,1,0,1,Pneumonia with Complications
0,1,0,0,1,1,Rhinosinusitis
1,1,0,0,0,0,Mild Viral Illness
0,0,0,1,0,0,Shortness of Breath
1,1,1,0,0,1,Influenza B
0,1,1,1,1,1,Severe Multi-System Disease
1,0,1,0,0,0,Pyrexia of Unknown Origin
0,0,0,0,1,1,Throat Pain Syndrome
1,0,0,1,1,1,Complicated Respiratory Infection
0,1,0,1,0,0,Bronchospasm
1,1,1,1,0,0,Severe Acute Respiratory Syndrome
0,0,1,1,1,0,Systemic Illness
1,0,1,1,1,0,Atypical Pneumonia
0,1,1,0,0,1,Acute Tracheobronchitis
1,1,0,1,1,0,COVID-19 Delta
0,0,0,0,0,1,Isolated Sore Throat
1,0,0,0,0,0,Isolated Fever
